Nama Lengkap : alfareza,Layanan: Unyellowing (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 12:16:19,Ongkir Cost: PICKUP,Total: Rp40000,Pembayaran: E-WALlET
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:13:26,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:17:14,Ongkir Cost: DELIVERY,Total: Rp105000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:19:49,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: White Shoes (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:20:39,Ongkir Cost: PICKUP,Total: Rp30000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:24:31,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:25:40,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:28:04,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:28:37,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:32:10,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:32:41,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:34:23,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:35:16,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 21:36:20,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 21:37:00,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 22:04:34,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 22:54:26,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-12 22:57:51,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-12 22:59:15,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-13 00:05:52,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-13 00:07:14,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-13 00:08:05,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Standard,Tanggal Pesan: 2024-06-13 00:08:42,Ongkir Cost: PICKUP,Total: Rp70000,Pembayaran: Transfer Bank
Nama Lengkap : alfareza,Layanan: Repaint Color (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-13 09:09:11,Ongkir Cost: PICKUP,Total: Rp80000,Pembayaran: COD
Nama Lengkap : alfareza,"Layanan: Woman Shoes (1x), White Shoes (1x), Sandal Cleaning (1x)",Jenis Layanan: Standard,Tanggal Pesan: 2024-06-13 09:10:47,Ongkir Cost: PICKUP,Total: Rp67000,Pembayaran: Transfer Bank
Nama Lengkap : 123456,Layanan: Unyellowing (1x),Jenis Layanan: Express,Tanggal Pesan: 2024-06-13 11:20:20,Ongkir Cost: DELIVERY,Total: Rp80000,Pembayaran: COD
